
12:01:02.0	POWER
12:01:04.0	POWER
12:01:06.0	POWER
12:01:20.0	EVENT PARGRP
12:01:25.0	NEWRUN
12:02:00.0	TOG 1
12:02:03.0	TOG 8
12:02:04.0	TOG 2
12:02:05.0	TOG 3
12:02:06.0	TOG 4
12:02:07.0	TOG 5
12:02:08.0	TOG 6
12:02:09.0	TOG 7
12:02:10.0	NUM 234
12:02:25.0	NUM 315
12:02:50.0	TRIG 1
12:02:52.0	TRIG 3
12:03:35.0	TRIG 2
12:03:55.0	TRIG 4
12:04:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
13:01:00.0	EVENT PARGRP
13:02:10.0	NUM 167
13:02:15.0	NUM 166
13:02:16.0	NUM 200
13:02:17.0	NUM 201
13:02:18.0	NUM 204
13:02:19.0	NUM 205
13:02:20.0	NUM 206
13:04:30.0	TRIG 1
13:04:31.0	TRIG 1
13:04:59.0	TRIG 1
13:05:00.0	TRIG 3
13:05:03.0	TRIG 2
13:05:05.0	TRIG 4
13:05:08.0	TRIG 5
13:05:09.0	TRIG 6
13:05:10.0	NUM 202
13:05:11.0	NUM 203
13:05:12.0	NUM 3
13:05:19.0	PRINT
13:05:25.3	POWER
13:05:26.3	POWER
13:06:00.0	NEWRUN
13:35:52.0	POWER
13:35:55.0	EXIT
